name,hubble_type,dist_mpc,inc_deg,L36_GLsun,Reff_kpc,SBeff,Rdisk_kpc,MHI_GMsun,Vflat_kms,quality
CamB,10,3.36,65.0,0.075,1.21,7.89,0.47,0.012,,2
D512-2,10,15.2,56.0,0.325,2.37,9.22,1.24,0.081,,2
D564-8,10,8.79,63.0,0.033,0.72,10.11,0.61,0.029,,2
D631-7,10,7.72,59.0,0.196,1.22,20.93,0.7,0.29,57.7,1
DDO064,10,6.8,60.0,0.157,1.2,17.41,0.69,0.211,46.1,1
DDO154,10,4.04,64.0,0.053,0.65,19.99,0.37,0.275,47.0,2
DDO161,10,7.5,70.0,0.548,2.04,20.74,1.22,1.378,66.3,1
DDO168,10,4.25,63.0,0.191,1.29,18.23,1.02,0.413,53.4,2
DDO170,10,15.4,66.0,0.543,3.03,9.39,1.95,0.735,60.0,2
ESO079-G014,4,28.7,79.0,51.733,7.23,157.34,5.08,3.14,175.0,1
ESO116-G012,7,13.0,74.0,4.292,2.75,90.54,1.51,1.083,109.1,1
ESO444-G084,10,4.83,32.0,0.071,0.75,19.81,0.46,0.135,,2
ESO563-G021,4,60.8,83.0,311.177,10.59,429.37,5.45,24.298,314.6,1
F561-1,9,66.4,24.0,4.077,5.39,22.12,2.79,1.622,50.0,3
F563-1,9,48.9,25.0,1.903,4.61,14.22,3.52,3.2,109.9,1
F563-V1,10,54.0,60.0,1.54,5.01,9.75,3.79,0.61,,3
F563-V2,10,59.7,29.0,2.986,4.49,23.6,2.43,2.169,116.6,1
F565-V2,10,51.8,60.0,0.559,3.57,6.93,2.17,0.699,,2
F567-2,9,79.0,20.0,2.134,5.43,11.5,3.08,2.449,,3
F568-1,5,90.7,26.0,6.252,7.0,20.36,5.18,4.498,,1
F568-3,7,82.4,40.0,8.346,7.47,23.81,4.99,3.195,,1
F568-V1,7,80.6,40.0,3.825,4.4,31.39,2.85,2.491,112.3,1
F571-8,5,53.3,85.0,10.164,1.4,825.71,3.56,1.782,139.7,1
F571-V1,7,80.1,30.0,1.849,4.38,15.3,2.47,1.217,83.6,2
F574-1,7,96.8,65.0,6.537,5.87,29.98,4.46,3.524,97.8,1
F574-2,9,89.1,30.0,2.877,6.48,10.89,3.76,1.701,,3
F579-V1,5,89.5,26.0,11.848,5.76,56.6,3.37,2.245,112.1,1
F583-1,9,35.4,63.0,0.986,3.74,11.19,2.36,2.126,85.8,1
F583-4,5,53.3,55.0,1.715,3.31,24.94,1.93,0.641,,1
IC2574,9,3.91,75.0,1.016,3.18,15.88,2.78,1.036,66.4,2
IC4202,4,100.4,90.0,179.749,8.55,391.59,4.78,12.326,242.6,1
KK98-251,10,6.8,59.0,0.085,1.28,7.89,1.34,0.115,33.7,2
NGC0024,5,7.3,64.0,3.889,2.01,151.65,1.34,0.676,106.3,1
NGC0055,9,2.11,77.0,4.628,3.67,54.55,6.11,1.565,85.6,2
NGC0100,6,13.5,89.0,3.232,2.81,64.99,1.66,1.99,88.1,1
NGC0247,7,3.7,74.0,7.332,5.87,33.79,3.74,1.746,104.9,2
NGC0289,4,20.8,46.0,72.065,2.69,1587.93,6.74,27.469,163.0,2
NGC0300,7,2.08,42.0,2.922,1.77,147.51,1.75,0.936,93.3,2
NGC0801,5,80.7,80.0,312.57,7.76,818.14,8.72,23.201,220.1,1
NGC0891,3,9.91,90.0,138.34,3.68,1617.45,2.55,4.462,216.1,1
NGC1003,6,11.4,67.0,6.82,2.76,140.87,1.61,5.88,109.8,1
NGC1090,4,37.0,64.0,72.045,6.36,283.68,3.53,8.783,164.4,1
NGC1705,11,5.73,80.0,0.533,0.49,347.4,0.39,0.139,71.9,3
NGC2366,10,3.27,68.0,0.236,1.08,31.98,0.65,0.647,50.2,3
NGC2403,6,3.16,63.0,10.041,2.16,341.06,1.39,3.199,131.2,1
NGC2683,3,9.81,80.0,80.415,3.34,1139.8,2.18,1.406,154.0,2
NGC2841,3,14.1,76.0,188.121,5.51,983.63,3.64,9.775,284.8,1
NGC2903,4,6.6,66.0,81.863,4.54,632.16,2.33,2.552,184.6,1
NGC2915,11,4.06,56.0,0.641,0.53,347.4,0.55,0.508,83.5,2
NGC2955,3,97.9,56.0,319.422,7.22,974.61,18.76,28.949,,1
NGC2976,5,3.58,61.0,3.371,1.31,308.2,1.01,0.172,85.4,2
NGC2998,5,68.1,58.0,150.902,7.06,479.55,6.2,23.451,209.9,1
NGC3109,9,1.33,70.0,0.194,1.64,11.4,1.56,0.477,66.2,1
NGC3198,5,13.8,73.0,38.279,5.84,178.99,3.14,10.869,150.1,1
NGC3521,4,7.7,75.0,84.836,2.45,2232.7,2.4,4.154,213.7,1
NGC3726,5,18.0,53.0,70.234,7.52,198.08,3.4,6.473,168.0,2
NGC3741,10,3.21,70.0,0.028,0.32,42.94,0.2,0.182,50.1,1
NGC3769,3,18.0,70.0,18.679,2.18,626.37,3.38,5.529,118.6,2
NGC3877,5,18.0,76.0,72.535,4.39,598.18,2.53,1.483,168.4,2
NGC3893,5,18.0,49.0,58.525,2.43,1573.37,2.38,5.799,174.0,1
NGC3917,6,18.0,79.0,21.966,5.56,112.94,2.63,1.888,135.9,1
NGC3949,4,18.0,55.0,38.067,2.39,1058.84,3.59,3.371,163.0,2
NGC3953,4,18.0,62.0,141.301,6.17,587.26,4.89,2.832,220.8,1
NGC3972,4,18.0,77.0,14.353,3.73,164.75,2.18,1.214,132.7,1
NGC3992,4,23.7,56.0,226.932,9.99,360.44,4.96,16.599,241.0,1
NGC4010,7,18.0,89.0,17.193,6.63,14.75,2.81,2.832,125.8,2
NGC4013,3,18.0,89.0,79.094,4.11,746.16,3.53,2.967,172.9,2
NGC4051,4,18.0,49.0,95.268,6.87,319.76,4.65,2.697,157.0,2
NGC4068,10,4.37,44.0,0.236,1.11,30.26,0.59,0.154,,2
NGC4085,5,18.0,82.0,21.724,2.0,856.7,1.65,1.349,131.5,2
NGC4088,4,18.0,69.0,107.286,6.1,457.96,2.58,8.226,171.7,1
